primary_label,common_name,scientific_name,latitude,longitude,date,season,url,filename
gnwtea,Green-winged Teal,Anas crecca,58.3001,13.5334,2012-04-16,Spring,https://www.xeno-canto.org/110332,XC110332.ogg
gnwtea,Green-winged Teal,Anas crecca,52.1406,20.9202,2012-11-25,Fall,https://www.xeno-canto.org/113457,XC113457.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-4.9545,-78.9792,2006-12-05,Winter,https://www.xeno-canto.org/10700,XC10700.ogg
grasal1,Grayish Saltator,Saltator coerulescens,-9.2667,-49.9334,2009-08-03,Summer,https://www.xeno-canto.org/119055,XC119055.ogg
grnjay,Green Jay,Cyanocorax yncas,-4.1139,-78.9637,2001-09-26,Fall,https://www.xeno-canto.org/11285,XC11285.ogg
grnjay,Green Jay,Cyanocorax yncas,6.9862,-75.1251,2011-01-28,Winter,https://www.xeno-canto.org/114091,XC114091.ogg
heptan,Hepatic Tanager,Piranga flava,-18.094,-64.614,2007-07-04,Summer,https://www.xeno-canto.org/155602,XC155602.ogg
heptan,Hepatic Tanager,Piranga flava,-17.9857,-64.4684,2007-07-05,Summer,https://www.xeno-canto.org/155707,XC155707.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,33.8751,-80.7501,2012-04-02,Spring,https://www.xeno-canto.org/112500,XC112500.ogg
reevir1,Red-eyed Vireo,Vireo olivaceus,41.8119,-72.2549,2012-05-17,Spring,https://www.xeno-canto.org/120863,XC120863.ogg
